12.004	55910
12.030	56101
12.056	56272
12.082	56348
12.108	56144
12.134	56133
12.160	56147
12.186	56129
12.212	56221
12.238	56580
12.264	56056
12.290	56506
12.316	56962
12.342	56437
12.368	56385
12.394	56630
12.420	56507
12.446	56142
12.472	56533
12.498	56553
12.524	56528
12.550	56399
12.576	56419
12.602	56379
12.628	56177
12.654	56006
12.680	56188
12.706	56522
12.732	56338
12.758	55985
12.784	56414
12.810	56278
12.836	56179
12.862	56561
12.888	56772
12.914	56921
12.940	57022
12.966	56711
12.992	57491
13.018	56590
13.044	56900
13.070	57173
13.096	57721
13.122	57948
13.148	58054
13.174	58300
13.200	59039
13.226	59322
13.252	59838
13.278	60655
13.304	61534
13.330	61967
13.356	63626
13.382	65059
13.408	67078
13.434	69241
13.460	70938
13.486	73439
13.512	75791
13.538	78709
13.564	82580
13.590	86300
13.616	90637
13.642	96419
13.668	102966
13.694	111120
13.720	119632
13.746	130697
13.772	142814
13.798	153682
13.824	160840
13.850	160275
13.876	152291
13.902	141538
13.928	128313
13.954	114086
13.980	101471
14.006	91408
14.032	83840
14.058	78137
14.084	74446
14.110	71890
14.136	69777
14.162	68171
14.188	66619
14.214	65216
14.240	64429
14.266	64271
14.292	63668
14.318	62751
14.344	62497
14.370	62553
14.396	62635
14.422	62702
14.448	62685
14.474	61919
14.500	61241
14.526	60687
14.552	60093
14.578	59238
14.604	58828
14.630	58656
14.656	58516
14.682	58395
14.708	57885
14.734	58125
14.760	58081
14.786	58150
14.812	58363
14.838	58389
14.864	58478
14.890	58720
14.916	58529
14.942	58631
14.968	58678
14.994	58542
15.020	57931
15.046	58103
15.072	58390
15.098	58989
15.124	58556
15.150	59360
15.176	59374
15.202	59124
15.228	59731
15.254	59053
15.280	59223
15.306	59348
15.332	59330
15.358	59960
15.384	60315
15.410	60515
15.436	61348
15.462	63426
15.488	64753
15.514	66962
15.540	69710
15.566	71642
15.592	74496
15.618	77151
15.644	78682
15.670	82680
15.696	86172
15.722	90163
15.748	94732
15.774	99664
15.800	104862
15.826	110435
15.852	116782
15.878	124553
15.904	133499
15.930	144035
15.956	155862
15.982	169786
16.008	186296
16.034	207210
16.060	231944
16.086	260667
16.112	295789
16.138	336496
16.164	380886
16.190	421794
16.216	444697
16.242	439651
16.268	412321
16.294	376858
16.320	338105
16.346	293929
16.372	247660
16.398	208406
16.424	178383
16.450	155520
16.476	138586
16.502	126127
16.528	116331
16.554	108293
16.580	101411
16.606	96338
16.632	92193
16.658	89235
16.684	87654
16.710	86172
16.736	85680
16.762	85796
16.788	86000
16.814	86486
16.840	87171
16.866	88814
16.892	90943
16.918	91962
16.944	91629
16.970	90342
16.996	88274
17.022	86034
17.048	83648
17.074	81352
17.100	78452
17.126	75473
17.152	73241
17.178	71692
17.204	70542
17.230	70337
17.256	69594
17.282	68691
17.308	67488
17.334	66927
17.360	66605
17.386	65707
17.412	65185
17.438	64645
17.464	64065
17.490	63045
17.516	62655
17.542	62138
17.568	61407
17.594	60717
17.620	60127
17.646	59567
17.672	59656
17.698	59426
17.724	59235
17.750	58665
17.776	58514
17.802	58216
17.828	57898
17.854	57794
17.880	56924
17.906	56605
17.932	56386
17.958	55763
17.984	55143
18.010	55166
18.036	55181
18.062	54619
18.088	54026
18.114	53810
18.140	53881
18.166	53146
18.192	53893
18.218	53149
18.244	52998
18.270	53161
18.296	53173
18.322	53057
18.348	53326
18.374	53171
18.400	53675
18.426	53126
18.452	52602
18.478	52625
18.504	52829
18.530	52924
18.556	53152
18.582	53165
18.608	52662
18.634	52571
18.660	52467
18.686	52594
18.712	52866
18.738	52977
18.764	53254
18.790	53296
18.816	53043
18.842	53186
18.868	53214
18.894	53589
18.920	53666
18.946	53923
18.972	54343
18.998	54697
19.024	55807
